PaperId,Rank,Doi,DocType,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,JournalId,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,CitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,DocSubTypes,CreatedDate,IsBiobank,Lead,Country,Region,Lead_h_index,LeadCitationCount,Hindex
2161197885,17128,10.1016/1047-2797(91)90005-W,Journal,The cardiovascular health study: Design and rationale,,1991,2/1/91,7/14/10,Elsevier,40844199.0,,,1.0,3.0,263,276,128,3226,3226,Annals of Epidemiology,,,,6/24/16,1.0,,,,,,239.0
2082704080,15634,10.1371/JOURNAL.PMED.1001779,Journal,UK biobank: an open access resource for identifying the causes of a wide range of complex diseases of middle and old age,,2015,3/31/15,10/1/15,Public Library of Science,197939330.0,,,12.0,3.0,,,17,3052,3376,PLOS Medicine,,,,6/24/16,1.0,2310088659.0,,,130.0,34200.0,110.0
2123263006,16421,10.1093/IJE/DYS064,Journal,Cohort Profile: The ‘Children of the 90s’—the index offspring of the Avon Longitudinal Study of Parents and Children,,2013,2/1/13,10/1/15,Oxford University Press,13389975.0,,,42.0,1.0,111,127,36,1723,2143,International Journal of Epidemiology,,,,6/24/16,1.0,2168326394.0,GBR,Europe & Central Asia,171.0,28710.0,79.0
2083384274,21219,10.2105/AJPH.41.3.279,Journal,Epidemiological approaches to heart disease: the Framingham Study.,,1951,3/1/51,,American Public Health Association,168049282.0,,,41.0,3.0,279,281,1,1627,2604,American Journal of Public Health,,,,6/24/16,1.0,2680104050.0,,,0.0,0.0,188.0
2143509157,16771,10.1093/IJE/DYS066,Journal,Cohort Profile: The Avon Longitudinal Study of Parents and Children: ALSPAC mothers cohort,,2013,2/1/13,10/1/15,Oxford University Press,13389975.0,,,42.0,1.0,97,110,72,1267,1539,International Journal of Epidemiology,,,,6/24/16,1.0,2082266408.0,GBR,Europe & Central Asia,113.0,15085.0,67.0
2163233985,17634,10.1093/IJE/DYL170,Journal,Cohort profile: The Norwegian Mother and Child Cohort Study (MoBa),,2006,10/1/06,8/22/06,Oxford University Press,13389975.0,,,35.0,5.0,1146,1150,5,800,973,International Journal of Epidemiology,,,,6/24/16,1.0,2023453302.0,NOR,Europe & Central Asia,13.0,177.0,62.0
2140882931,18023,10.1093/OXFORDJOURNALS.AJE.A010213,Journal,A Multiethnic Cohort in Hawaii and Los Angeles: Baseline Characteristics,,2000,2/15/00,,Oxford University Press,170967050.0,,,151.0,4.0,346,357,52,775,902,American Journal of Epidemiology,,,,6/24/16,1.0,2026591920.0,USA,North America,0.0,7.0,84.0
160785014,17959,10.1093/SLEEP/20.12.1077,Journal,"The Sleep Heart Health Study: design, rationale, and methods.",,1997,12/1/97,,American Academy of Sleep Medicine,42921845.0,,,20.0,12.0,1077,1085,0,751,909,Sleep,,,,6/24/16,1.0,1980620658.0,USA,North America,38.0,2232.0,102.0
2131715067,17512,10.1093/IJE/DYI183,Journal,Cohort profile: 1958 British birth cohort (National Child Development Study),,2006,2/1/06,9/9/05,Oxford University Press,13389975.0,,,35.0,1.0,34,41,41,733,912,International Journal of Epidemiology,,,,6/24/16,1.0,2103033222.0,GBR,Europe & Central Asia,7.0,56.0,72.0
2131014997,17349,10.1093/IJE/DYP394,Journal,Cohort Profile: The Study of Health in Pomerania,,2011,4/1/11,2/18/10,Oxford University Press,13389975.0,,,40.0,2.0,294,307,102,726,976,International Journal of Epidemiology,,,,6/24/16,1.0,2889491067.0,DEU,Europe & Central Asia,29.0,1117.0,60.0
2166349035,17213,10.1093/IJE/DYS168,Journal,Cohort Profile: The English Longitudinal Study of Ageing,,2013,12/1/13,11/9/12,Oxford University Press,13389975.0,,,42.0,6.0,1640,1648,25,667,875,International Journal of Epidemiology,,,,6/24/16,1.0,736522612.0,GBR,Europe & Central Asia,51.0,5092.0,51.0
2160272053,17257,10.1093/IJE/DYU067,Journal,Cohort Profile: the Health and Retirement Study (HRS).,,2014,4/1/14,3/25/14,Oxford University Press,13389975.0,,,43.0,2.0,576,585,35,653,834,International Journal of Epidemiology,,,,6/24/16,1.0,2169833637.0,USA,North America,36.0,2424.0,42.0
2341326607,16930,10.1093/IJE/DYV319,Journal,"Cohort Profile: The National Health Insurance Service–National Sample Cohort (NHIS-NSC), South Korea",,2016,1/28/16,1/28/16,Oxford University Press,13389975.0,,,46.0,2.0,,,3,653,1016,International Journal of Epidemiology,,,,6/24/16,1.0,2948331907.0,KOR,East Asia & Pacific,0.0,0.0,29.0
2135255861,17287,10.1093/IJE/DYS095,Journal,"Cohort Profile: The HUNT Study, Norway",,2013,8/1/13,8/9/12,Oxford University Press,13389975.0,,,42.0,4.0,968,977,41,648,757,International Journal of Epidemiology,,,,6/24/16,1.0,2072378311.0,NOR,Europe & Central Asia,42.0,4211.0,45.0
2157092800,17926,10.1093/IJE/DYH372,Journal,Cohort Profile: The Whitehall II study,,2005,4/1/05,12/2/04,Oxford University Press,13389975.0,,,34.0,2.0,251,256,21,628,839,International Journal of Epidemiology,,,,6/24/16,1.0,2131091349.0,GBR,Europe & Central Asia,40.0,2470.0,71.0
