PaperId,Rank,Doi,DocType,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,JournalId,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,CitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,DocSubTypes,CreatedDate,IsBiobank,Country,Region,Hindex,PI,CitationPI,CitationPI2
2082704080,15634,10.1371/JOURNAL.PMED.1001779,Journal,UK biobank: an open access resource for identifying the causes of a wide range of complex diseases of middle and old age,,2015,3/31/15,10/1/15,Public Library of Science,197939330.0,,,12.0,3.0,,,17,3052,3376,PLOS Medicine,,,,6/24/16,1.0,,,64.0,2310088659.0,10174179.0,158936
2123263006,16421,10.1093/IJE/DYS064,Journal,Cohort Profile: The ‘Children of the 90s’—the index offspring of the Avon Longitudinal Study of Parents and Children,,2013,2/1/13,10/1/15,Oxford University Press,13389975.0,,,42.0,1.0,111,127,36,1723,2143,International Journal of Epidemiology,,,,6/24/16,1.0,GBR,Europe & Central Asia,69.0,2099717175.0,0.0,1
2143509157,16771,10.1093/IJE/DYS066,Journal,Cohort Profile: The Avon Longitudinal Study of Parents and Children: ALSPAC mothers cohort,,2013,2/1/13,10/1/15,Oxford University Press,13389975.0,,,42.0,1.0,97,110,72,1267,1539,International Journal of Epidemiology,,,,6/24/16,1.0,GBR,Europe & Central Asia,53.0,2082266408.0,24.0,2
2163233985,17634,10.1093/IJE/DYL170,Journal,Cohort profile: The Norwegian Mother and Child Cohort Study (MoBa),,2006,10/1/06,8/22/06,Oxford University Press,13389975.0,,,35.0,5.0,1146,1150,5,800,973,International Journal of Epidemiology,,,,6/24/16,1.0,NOR,Europe & Central Asia,27.0,2128902722.0,0.0,0
2140882931,18023,10.1093/OXFORDJOURNALS.AJE.A010213,Journal,A Multiethnic Cohort in Hawaii and Los Angeles: Baseline Characteristics,,2000,2/15/00,,Oxford University Press,170967050.0,,,151.0,4.0,346,357,52,775,902,American Journal of Epidemiology,,,,6/24/16,1.0,USA,North America,23.0,107237105.0,345656.0,3165
160785014,17959,10.1093/SLEEP/20.12.1077,Journal,"The Sleep Heart Health Study: design, rationale, and methods.",,1997,12/1/97,,American Academy of Sleep Medicine,42921845.0,,,20.0,12.0,1077,1085,0,751,909,Sleep,,,,6/24/16,1.0,USA,North America,10.0,2054641098.0,0.0,0
2131715067,17512,10.1093/IJE/DYI183,Journal,Cohort profile: 1958 British birth cohort (National Child Development Study),,2006,2/1/06,9/9/05,Oxford University Press,13389975.0,,,35.0,1.0,34,41,41,733,912,International Journal of Epidemiology,,,,6/24/16,1.0,GBR,Europe & Central Asia,44.0,2517501806.0,0.0,0
2131014997,17349,10.1093/IJE/DYP394,Journal,Cohort Profile: The Study of Health in Pomerania,,2011,4/1/11,2/18/10,Oxford University Press,13389975.0,,,40.0,2.0,294,307,102,726,976,International Journal of Epidemiology,,,,6/24/16,1.0,DEU,Europe & Central Asia,43.0,1999052458.0,1838702.0,49997
2166349035,17213,10.1093/IJE/DYS168,Journal,Cohort Profile: The English Longitudinal Study of Ageing,,2013,12/1/13,11/9/12,Oxford University Press,13389975.0,,,42.0,6.0,1640,1648,25,667,875,International Journal of Epidemiology,,,,6/24/16,1.0,GBR,Europe & Central Asia,33.0,1986590899.0,0.0,0
2160272053,17257,10.1093/IJE/DYU067,Journal,Cohort Profile: the Health and Retirement Study (HRS).,,2014,4/1/14,3/25/14,Oxford University Press,13389975.0,,,43.0,2.0,576,585,35,653,834,International Journal of Epidemiology,,,,6/24/16,1.0,USA,North America,26.0,1968518058.0,466572.0,9658
2135255861,17287,10.1093/IJE/DYS095,Journal,"Cohort Profile: The HUNT Study, Norway",,2013,8/1/13,8/9/12,Oxford University Press,13389975.0,,,42.0,4.0,968,977,41,648,757,International Journal of Epidemiology,,,,6/24/16,1.0,NOR,Europe & Central Asia,38.0,2052254941.0,223318.0,10328
2157092800,17926,10.1093/IJE/DYH372,Journal,Cohort Profile: The Whitehall II study,,2005,4/1/05,12/2/04,Oxford University Press,13389975.0,,,34.0,2.0,251,256,21,628,839,International Journal of Epidemiology,,,,6/24/16,1.0,GBR,Europe & Central Asia,17.0,2126237086.0,6677485.0,136980
2128573775,17318,10.1093/IJE/DYS203,Journal,Cohort Profile: The China Health and Retirement Longitudinal Study (CHARLS),,2014,2/1/14,12/12/12,Oxford University Press,13389975.0,,,43.0,1.0,61,68,11,624,763,International Journal of Epidemiology,,,,6/24/16,1.0,USA,North America,24.0,2119351818.0,54.0,2
2006174703,18329,10.1089/JWH.1997.6.49,Journal,The Nurses' Health Study: 20-Year Contribution to the Understanding of Health Among Women,,1997,2/1/97,,J Womens Health,191117624.0,,,6.0,1.0,49,62,77,565,871,Journal of Womens Health,,,,6/24/16,1.0,,,12.0,2067218961.0,2734003.0,21710
2123921851,18079,10.1093/IJE/DYM225,Journal,Cohort profile: The Cardiovascular Risk in Young Finns Study,,2008,12/1/08,2/8/08,Oxford University Press,13389975.0,,,37.0,6.0,1220,1226,57,562,686,International Journal of Epidemiology,,,,6/24/16,1.0,FIN,Europe & Central Asia,25.0,161287833.0,0.0,0
2105487064,17967,10.1093/IJE/DYI098,Journal,Cohort Profile: The Australian Longitudinal Study on Women's Health,,2005,10/1/05,5/13/05,Oxford University Press,13389975.0,,,34.0,5.0,987,991,141,525,636,International Journal of Epidemiology,,,,6/24/16,1.0,AUS,East Asia & Pacific,21.0,2307581087.0,0.0,0
2161441587,17870,10.1093/IJE/DYP322,Journal,"Cohort Profile: The China Health and Nutrition Survey—monitoring and understanding socio-economic and health change in China, 1989–2011",,2010,12/1/10,11/3/09,Oxford University Press,13389975.0,,,39.0,6.0,1435,1440,7,486,750,International Journal of Epidemiology,,,,6/24/16,1.0,CHN,East Asia & Pacific,21.0,10767262.0,0.0,0
2106933779,17716,10.1093/IJE/DYM184,Journal,Cohort profile: the 45 and up study.,,2008,10/1/08,9/19/07,Oxford University Press,13389975.0,,,37.0,5.0,941,947,4,483,745,International Journal of Epidemiology,,,,6/24/16,1.0,AUS,East Asia & Pacific,15.0,2147758338.0,0.0,0
2133304451,17770,10.1093/IJE/DYR049,Journal,Cohort profile: The Tromsø Study,,2012,8/1/12,3/21/11,Oxford University Press,13389975.0,,,41.0,4.0,961,967,26,432,668,International Journal of Epidemiology,,,,6/24/16,1.0,NOR,Europe & Central Asia,37.0,1996467848.0,366878.0,7434
2056343794,18919,10.1097/00006250-199404000-00012,Journal,The Maine Women's Health Study: I. Outcomes of hysterectomy.,,1994,4/1/94,,Obstet Gynecol,139838620.0,,,83.0,4.0,556,565,0,388,640,Obstetrics & Gynecology,,,,6/24/16,1.0,,,15.0,2525304143.0,85580.0,1906
2167080331,17668,10.1093/IJE/DYQ250,Journal,Cohort Profile: Design and methods of the PREDIMED study,,2012,4/1/12,12/20/10,Oxford University Press,13389975.0,,,41.0,2.0,377,385,53,384,558,International Journal of Epidemiology,,,,6/24/16,1.0,ESP,Europe & Central Asia,48.0,2086879189.0,1762052.0,50591
2160134719,18085,10.2215/CJN.00070109,Journal,Chronic Renal Insufficiency Cohort (CRIC) Study: Baseline Characteristics and Associations with Kidney Function,,2009,8/1/09,6/18/09,American Society of Nephrology,184267533.0,,,4.0,8.0,1302,1311,50,378,457,Clinical Journal of The American Society of Nephrology,,,,6/24/16,1.0,USA,North America,20.0,2560484516.0,432017.0,11553
2108165606,18173,10.1093/IJE/DYR054,Journal,Cohort Profile: The INMA—INfancia y Medio Ambiente—(Environment and Childhood) Project,,2012,8/1/12,4/5/11,Oxford University Press,13389975.0,,,41.0,4.0,930,940,82,378,477,International Journal of Epidemiology,,,,6/24/16,1.0,ESP,Europe & Central Asia,37.0,1480724987.0,181705.0,6238
2100699867,18483,10.1186/1475-9276-3-3,Journal,"The Oslo Health Study: The impact of self-selection in a large, population-based survey.",,2004,5/6/04,5/6/04,BioMed Central,167257428.0,,,3.0,1.0,3,3,43,377,492,International Journal for Equity in Health,,,,6/24/16,1.0,NOR,Europe & Central Asia,28.0,2118979194.0,264776.0,4598
2100152214,18509,10.1093/IJE/DYI201,Journal,Cohort Profile: The 1946 National Birth Cohort (MRC National Survey of Health and Development),,2006,2/1/06,10/4/05,Oxford University Press,13389975.0,,,35.0,1.0,49,54,41,367,443,International Journal of Epidemiology,,,,6/24/16,1.0,GBR,Europe & Central Asia,19.0,1977284345.0,69641.0,529
1911952697,17717,10.1016/J.JCLINEPI.2015.09.016,Journal,Million Veteran Program: A mega-biobank to study genetic influences on health and disease.,,2016,2/1/16,10/9/15,Elsevier,64418186.0,,,70.0,,214,223,17,339,407,Journal of Clinical Epidemiology,,,,6/24/16,1.0,USA,North America,23.0,3098681172.0,102794.0,666
2131657653,18232,10.1093/IJE/DYQ219,Journal,Cohort Profile: The Longitudinal Aging Study Amsterdam,,2011,8/1/11,1/6/11,Oxford University Press,13389975.0,,,40.0,4.0,868,876,29,339,490,International Journal of Epidemiology,,,,6/24/16,1.0,NLD,Europe & Central Asia,31.0,2120820592.0,231170.0,8128
2167946477,18490,10.1093/AJE/KWI322,Journal,"The Shanghai Women's Health Study: Rationale, Study Design, and Baseline Characteristics",,2005,12/1/05,10/19/05,Oxford University Press,170967050.0,,,162.0,11.0,1123,1131,67,334,377,American Journal of Epidemiology,,,,6/24/16,1.0,CHN,East Asia & Pacific,19.0,2110746689.0,0.0,0
2103516623,17736,10.1093/IJE/DYU229,Journal,"Cohort Profile: LifeLines, a three-generation cohort study and biobank",,2015,8/1/15,12/14/14,Oxford University Press,13389975.0,,,44.0,4.0,1172,1180,40,327,476,International Journal of Epidemiology,,,,6/24/16,1.0,,,28.0,2012848857.0,211897.0,5983
2131298552,18255,10.1093/IJE/DYR197,Journal,Cohort Profile: The Lothian Birth Cohorts of 1921 and 1936,,2012,12/1/12,12/14/11,Oxford University Press,13389975.0,,,41.0,6.0,1576,1584,75,311,376,International Journal of Epidemiology,,,,6/24/16,1.0,GBR,Europe & Central Asia,27.0,1440122626.0,0.0,0
2341084900,17882,10.1093/IJE/DYV316,Journal,Cohort Profile: The Korean Genome and Epidemiology Study (KoGES) Consortium,,2017,4/1/17,4/16/16,Oxford University Press,13389975.0,,,46.0,4.0,1350,1350,37,307,369,International Journal of Epidemiology,,,,6/24/16,1.0,USA,North America,15.0,2612477551.0,112476.0,3613
2140083708,18153,10.1093/IJE/DYM211,Journal,Cohort Profile: Africa Centre Demographic Information System (ACDIS) and population-based HIV survey,,2008,10/1/08,11/12/07,Oxford University Press,13389975.0,,,37.0,5.0,956,962,25,304,389,International Journal of Epidemiology,,,,6/24/16,1.0,,,23.0,2003062268.0,0.0,0
2004993190,18157,10.1093/IJE/DYP321,Journal,Cohort profile: the Swiss HIV Cohort study,,2010,10/1/10,11/30/09,Oxford University Press,13389975.0,,,39.0,5.0,1179,1189,103,295,449,International Journal of Epidemiology,,,,6/24/16,1.0,CHE,Europe & Central Asia,30.0,2432340702.0,0.0,0
2077119043,18437,10.1159/000087446,Journal,The Rush Memory and Aging Project: study design and baseline characteristics of the study cohort.,,2005,10/28/05,10/28/05,Karger Publishers,21771311.0,,,25.0,4.0,163,175,87,290,345,Neuroepidemiology,,,,6/24/16,1.0,USA,North America,28.0,2124238274.0,0.0,0
2071608393,18276,10.1038/IJO.2011.30,Journal,"The IDEFICS cohort: design, characteristics and participation in the baseline survey.",,2011,4/12/11,4/12/11,Nature Publishing Group,103428141.0,,,35.0,1.0,3,15,34,281,370,International Journal of Obesity,,,,6/24/16,1.0,DEU,Europe & Central Asia,32.0,3133084647.0,291210.0,11895
2163603091,17954,10.1093/IJE/DYU027,Journal,Cohort Profile: Longitudinal Study of Adult Health (ELSA-Brasil),,2015,2/1/15,2/27/14,Oxford University Press,13389975.0,,,44.0,1.0,68,75,15,279,409,International Journal of Epidemiology,,,,6/24/16,1.0,,,21.0,2103273789.0,14412.0,179
2034098851,18255,10.1210/JC.2010-1642,Journal,Characteristics of adolescents and youth with recent-onset type 2 diabetes: the TODAY cohort at baseline,,2011,4/30/11,10/20/10,The Endocrine Society,205775358.0,,,96.0,1.0,159,167,25,266,394,The Journal of Clinical Endocrinology and Metabolism,,,,6/24/16,1.0,USA,North America,22.0,2520340350.0,273283.0,5441
2042820847,18591,10.1016/S1081-1206(10)61707-3,Journal,Design and baseline characteristics of The Epidemiology and Natural History of Asthma: Outcomes and Treatment Regimens (TENOR) study: a large cohort of patients with severe or difficult-to-treat asthma,,2004,1/1/04,2/20/10,Elsevier,153558830.0,,,92.0,1.0,32,39,22,264,446,Annals of Allergy Asthma & Immunology,,,,6/24/16,1.0,USA,North America,22.0,2167773257.0,0.0,0
2108343924,18276,10.1093/IJE/DYT125,Journal,Cohort Profile: Growing Up in Singapore Towards healthy Outcomes (GUSTO) birth cohort study,,2014,10/1/14,8/2/13,Oxford University Press,13389975.0,,,43.0,5.0,1401,1409,29,264,310,International Journal of Epidemiology,,,,6/24/16,1.0,USA,North America,27.0,2170607210.0,0.0,0
2150526592,18377,10.1093/IJE/DYI202,Journal,Cohort profile: The Southampton Women's Survey,,2006,2/1/06,9/29/05,Oxford University Press,13389975.0,,,35.0,1.0,42,48,11,262,322,International Journal of Epidemiology,,,,6/24/16,1.0,,,24.0,1879489511.0,50367.0,863
2110752103,19028,10.1093/IJE/DYM126,Journal,Cohort Profile: The Dutch Hunger Winter Families Study,,2007,12/1/07,6/25/07,Oxford University Press,13389975.0,,,36.0,6.0,1196,1204,53,262,415,International Journal of Epidemiology,,,,6/24/16,1.0,USA,North America,16.0,3184660579.0,0.0,0
